Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2020-11-29,Madhya Pradesh,Indore,Manpur(D),22.43194,75.61944,15.52,-1.12
2014-04-11,Kerala,Alappuzha,Mavelikara,9.25,76.5375,2.46,-0.28
2015-08-24,Haryana,Jhajjar,Chuchakwas,28.6,76.50833,4.06,-0.31
2017-04-16,West Bengal,North 24 Parganas,Khalisadi More,22.60306,88.65944,7.75,1.35
2014-11-06,Odisha,Puri,Beraboi,20.03556,85.77111,1.6,0.6
2017-11-04,Maharashtra,Nanded,Santepur,18.30417,77.41944,0.73,-3.86
2017-11-04,Karnataka,Haveri,Hirekerur (A),14.45,75.41667,1.6,-6.82
2018-08-29,Bihar,Bhagalpur,Naugachhia h.s,25.40417,87.0875,2.34,-3.42
2013-06-13,Madhya Pradesh,Sidhi,Patpara,24.485,81.89028,5.53,-0.87
2020-01-09,Maharashtra,Yavatmal,Sindhi_Pz,20.66889,78.2275,2.6,0.6
2014-11-04,Chhattisgarh,Raipur,Palari D,21.53083,82.16833,2.02,-1.74
2017-11-04,Maharashtra,Gondia,Sarra,21.29167,79.93333,2.8,1.75
2019-08-27,Kerala,Palakkad,Nemmara,10.59167,76.59167,1.52,-2.8
2018-01-09,Maharashtra,Amravati,Ghat Larki-1,21.33361,77.80806,18.0,-0.2
2017-08-24,Andhra Pradesh,Ananthapuramu,Poolakunta 2013DW,14.62667,77.69917,16.12,-1.88
2019-05-30,Uttar Pradesh,Balrampur,Bankatwa,27.73694,82.25278,10.0,0.33
2016-08-24,Karnataka,Tumakuru,Kibbanahalli1,13.30833,76.65833,37.4,4.82
2019-08-17,Karnataka,Kolar,Gadarajhalli,12.96444,78.30944,7.7,0.7
2014-05-14,Karnataka,Mysuru,Mulluru,11.98333,76.47917,12.69,2.87
2018-05-27,Chhattisgarh,Korea,Nagar Station,23.35222,82.36194,7.45,2.6
2014-01-04,Maharashtra,Hingoli,Kurundha,19.40556,77.23083,7.35,4.05
2017-05-26,Assam,Dhemaji,Bhagaban charali,27.5,94.54444,9.35,6.85
2016-10-14,Rajasthan,Alwar,RAMGARH1,27.58333,76.80972,22.56,9.29
2014-11-06,Kerala,Wayanad,Perya,11.83333,75.83889,5.28,4.16
2018-08-30,Madhya Pradesh,Balaghat,Mohagaon,22.05194,80.68056,1.19,-7.99
2013-12-05,Tamil Nadu,Karur,Karur2,10.95833,78.08333,2.55,-3.01
2014-05-14,Telangana,Warangal,Mylaram DW13,18.33167,80.43528,6.42,1.69
2015-11-06,Kerala,Thiruvananthapuram,Pothencod,8.63889,76.89722,2.63,-7.35
2014-01-04,Gujarat,Rajkot,Wankaner-1,22.62083,70.92917,5.95,0.43
2019-08-30,Uttar Pradesh,Chitrakoot,Raipura,25.22833,81.15,8.23,-4.53
2015-11-04,Maharashtra,Akola,Kanheri Gawali_Pz,20.65917,76.83444,4.5,3.1
2015-01-17,Tamil Nadu,Sivaganga,Singapuneri,10.18417,78.42361,7.15,0.27
2014-05-14,Karnataka,Kalaburagi,Nagaidalai,17.54778,77.41111,6.51,0.14
2017-05-14,Maharashtra,Parbhani,Chikhalthana,19.55,76.48333,13.65,3.2
2014-11-04,Andhra Pradesh,Sri Potti Sriramulu Nellore,Ramareddypalem-DW14,14.14056,80.00667,5.38,-1.64
2017-08-26,Kerala,Pathanamthitta,Pathanamthitta (R1),9.26389,76.78889,2.36,-0.87
2014-11-04,Andhra Pradesh,Chittoor,Nilavai-DW13,13.63694,79.90083,1.35,-1.55
2020-01-09,Telangana,Nalgonda,Huzurnagar-PZ,16.89722,79.53333,3.28,2.48
2015-11-04,Gujarat,Junagadh,Gangda_Pz,20.85833,71.16667,9.4,1.25
2017-08-24,Karnataka,Hassan,Gopalapura,12.81444,75.85833,5.37,-1.83
2018-08-19,Karnataka,Uttara Kannada,Manki1,14.1,74.49167,3.75,-5.35
2015-01-06,Kerala,Alappuzha,Punnapra,9.43333,76.44417,2.0,-0.1
2014-08-24,Karnataka,Shivamogga,Kote Kargya,13.79889,75.21111,4.19,-7.11
2014-08-24,Gujarat,Bhavnagar,Lonjdhara,22.09722,71.89722,19.42,-4.99
2017-05-14,Haryana,Kaithal,Mataur,29.60833,76.25833,8.41,-0.69
2015-05-14,Tamil Nadu,Vellore,Kandili,12.47778,78.45556,14.95,-2.47
2017-04-16,West Bengal,Murshidabad,Raichandpur,24.24833,88.27444,6.73,1.58
2018-08-29,West Bengal,Purba Bardhaman,Bannabagram-2,23.52722,87.62389,5.54,-2.3
2020-11-29,Rajasthan,Jaipur,Madhorajpur,26.57722,75.65583,5.5,2.3
2016-11-06,Kerala,Kasaragod,Mandecap,12.6525,74.99,6.76,2.4
2021-01-09,Uttar Pradesh,Hardoi,Behdar (GWD PZ),27.02167,80.41556,2.41,0.54
2014-11-04,Punjab,Tarn Taran,Bhura-Pz,31.20417,74.59583,11.84,-1.42
2013-11-04,Gujarat,Mahesana,Rampura1,23.89167,72.51667,7.39,-0.19
2016-05-14,Telangana,Adilabad,Kagaznagar DW 2012,19.35806,79.47722,6.36,2.7
2013-05-23,Madhya Pradesh,Sidhi,Patpara,24.485,81.89028,6.4,0.87
2018-11-14,Tamil Nadu,Cuddalore,Kurinjipadi,11.5625,79.59167,4.41,-3.09
2016-08-26,Odisha,Gajapati,Pegoda,18.91333,84.15528,5.39,-2.44
